City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Fillmore,US,75.2,clear sky,43.6666,-92.1002,Country Trails Inn & Suites
3,Avarua,CK,82.4,light rain,-21.2078,-159.775,Paradise Inn
8,Saint-Pierre,RE,78.8,clear sky,-21.3393,55.4781,Lindsey Hôtel
11,Rikitea,PF,76.98,light rain,-23.1203,-134.9692,Pension Maro'i
12,Maumere,ID,78.26,heavy intensity rain,-8.6199,122.2111,Sylvia Hotel
13,Manacapuru,BR,89.6,scattered clouds,-3.2997,-60.6206,Novo Hotel
17,Eyl,SO,81.01,clear sky,7.9803,49.8164,Amiin Hotel
21,Butaritari,KI,81.68,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
22,Gouyave,GD,84.2,few clouds,12.1646,-61.7296,Rumboat Retreat
23,Pisco,PE,78.8,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
25,Kapaa,US,75.2,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
32,Pochutla,MX,90.0,few clouds,15.7432,-96.4661,Hotel Posada San Jose
33,Chak Azam Sahu,PK,76.69,overcast clouds,30.75,73.0333,Kot Ghazi khan
38,Jalpan,MX,77.76,overcast clouds,21.2333,-99.4833,Hotel Mision Jalpan
39,Georgetown,MY,84.0,moderate rain,5.4112,100.3354,Cititel Penang
42,Minab,IR,78.8,haze,27.1467,57.0801,Bam campground
45,Souillac,MU,81.0,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
48,Carnarvon,AU,77.0,clear sky,-24.8667,113.6333,Hospitality Carnarvon
52,Singaraja,ID,79.52,light rain,-8.112,115.0882,Puri Bagus Lovina Resort
54,Urucara,BR,87.91,overcast clouds,-2.5364,-57.76,Hotel japa
56,Ilhabela,BR,76.03,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
64,Kalmunai,LK,78.96,broken clouds,7.4167,81.8167,VS Villa
65,Mahebourg,MU,81.0,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
69,Arraial Do Cabo,BR,84.2,few clouds,-22.9661,-42.0278,Pousada Porto Praia
79,Magnolia,US,75.0,broken clouds,33.2671,-93.2393,Budget Inn
82,Puerto Ayora,EC,82.4,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
83,Nouakchott,MR,80.6,overcast clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
88,Biltine,TD,89.26,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
89,Januaria,BR,83.08,broken clouds,-15.4833,-44.3667,Hotel Paraguassu
96,Saint-Joseph,RE,78.8,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
101,Kisangani,CD,75.97,overcast clouds,0.5167,25.2,Grand Ramela Hotel
107,Hithadhoo,MV,83.82,overcast clouds,-0.6,73.0833,Scoop Guest House
109,Grand Baie,MU,81.0,clear sky,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
110,Dingle,PH,75.15,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
113,Saint-Philippe,RE,80.6,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
121,Namatanai,PG,77.79,light rain,-3.6667,152.4333,Namatanai Hotel
122,Bambous Virieux,MU,81.0,few clouds,-20.3428,57.7575,Casa Tia Villa
124,Vaini,TO,75.2,scattered clouds,-21.2,-175.2,Keleti Beach Resort
126,San Vicente,AR,77.94,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
127,Lorengau,PG,79.75,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
130,Kavaratti,IN,82.36,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
133,Tecoanapa,MX,86.4,clear sky,16.5167,-98.75,Hotel Manglares
139,Bandarbeyla,SO,79.52,scattered clouds,9.4942,50.8122,JABIR HOTEL
143,Wewak,PG,77.83,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
145,Cap Malheureux,MU,81.0,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
146,Surt,LY,75.11,broken clouds,31.2089,16.5887,الهادي ابوشعاله سرت
148,Hambantota,LK,75.2,clear sky,6.1241,81.1185,Bungalow 63
152,Luis Correia,BR,84.2,scattered clouds,-2.8792,-41.6669,Hotel Amarração
155,Tawau,MY,77.0,few clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
160,Belmonte,BR,86.0,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
161,Saint George,US,79.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
164,Moron,AR,78.8,few clouds,-34.6534,-58.6198,Hotel Morón
167,Progreso,MX,84.2,broken clouds,21.2833,-89.6667,Playa Linda Hotel
169,Faanui,PF,81.41,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
170,Cayenne,GF,82.4,light rain,4.9333,-52.3333,Hôtel Le Dronmi
172,Lazaro Cardenas,MX,84.92,overcast clouds,17.9583,-102.2,Hotel Quinta Antigua
175,Lamu,KE,84.2,clear sky,-2.2717,40.902,Lamu House
178,Mogadishu,SO,82.33,overcast clouds,2.0371,45.3438,Olympic Hotel
179,Honiara,SB,77.88,scattered clouds,-9.4333,159.95,Heritage Park Hotel
184,Diego De Almagro,CL,81.03,few clouds,-26.3667,-70.05,hotel luna del desierto
187,Mitsamiouli,KM,82.53,light rain,-11.3847,43.2844,Foyer ADM
189,Santiago Del Estero,AR,85.42,broken clouds,-27.7951,-64.2615,Apartamentos Castelli 90
204,Oranjestad,AW,78.64,overcast clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
212,Nizwa,OM,83.64,clear sky,22.9333,57.5333,Orient Apartments
213,San Patricio,US,78.01,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
214,Namibe,AO,78.51,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
216,Karratha,AU,82.2,clear sky,-20.7377,116.8463,ibis Styles Karratha
220,Necochea,AR,82.99,clear sky,-38.5473,-58.7368,dyd -mar Hotel
221,Palmerston,AU,75.2,overcast clouds,-12.485999999999999,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
224,Colon,PA,86.0,overcast clouds,9.3592,-79.9014,Sand Diamond Hotel
228,Port Keats,AU,76.91,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
229,Marsa Matruh,EG,77.0,clear sky,31.3525,27.2453,Beau Site
233,Labuhan,ID,76.48,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
236,Rio Grande,BR,80.6,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
240,Itarema,BR,82.62,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
245,Caramay,PH,77.76,overcast clouds,10.1815,119.236,Peace and Love Beach Club
247,Touros,BR,84.2,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
249,Garowe,SO,78.94,scattered clouds,8.4054,48.4845,Curubo Hotel
253,Sokoni,TZ,82.4,few clouds,-6.4333,39.55,Ujamaa Beach Resort
254,San Cristobal,VE,82.4,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
258,Atuona,PF,80.46,scattered clouds,-9.8,-139.0333,Villa Enata
261,Bathsheba,BB,84.2,scattered clouds,13.2167,-59.5167,Atlantis Hotel
264,Totness,SR,81.0,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
265,Ambon,ID,78.8,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
269,Saint-Paul,RE,80.6,few clouds,-21.0096,55.2707,Boucan Canot
275,Taveta,KE,77.0,light rain,-3.3963,37.6736,Challa Hotel
278,Rawson,AR,86.38,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
282,Catamarca,AR,81.0,few clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
285,Pauini,BR,84.9,scattered clouds,-7.7136,-66.9764,Casa do Kiwliks
289,Isangel,VU,75.88,scattered clouds,-19.55,169.2667,Volcano Sea View Tree House
291,Hurghada,EG,75.2,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
309,Bengkulu,ID,77.49,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
313,Jiwani,PK,81.73,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
314,Comonfort,MX,75.99,few clouds,20.7167,-100.7667,El Kiosco Verde
315,Bilma,NE,82.85,clear sky,18.6853,12.9164,Expeditions Ténére voyages
321,Joao Camara,BR,84.2,scattered clouds,-5.5375,-35.8197,Pousada Miguel Teixeira
324,Sao Jose Da Coroa Grande,BR,82.22,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
325,Kribi,CM,81.46,overcast clouds,2.95,9.9167,Les Vagues bleues
327,Padang,ID,75.2,few clouds,-0.9492,100.3543,Mercure Padang
328,Axim,GH,80.87,clear sky,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
336,Becerril,CO,87.78,overcast clouds,9.7041,-73.2793,Barrio El Carmen
340,Awbari,LY,79.23,few clouds,26.5921,12.7805,فندق أوباري
349,Kuching,MY,78.8,few clouds,1.55,110.3333,The Ranee Boutique Suites
353,Olopa,GT,86.0,overcast clouds,14.6833,-89.35,Eco Muro
357,Sola,VU,79.7,light rain,-13.8833,167.55,Leumerus Bungalows
359,Kabrai,IN,83.7,clear sky,25.4167,80.0167,Bharat concrete Udyog
364,Auki,SB,77.85,overcast clouds,-8.7676,160.7034,Auki Motel
368,Grand Gaube,MU,81.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
369,Trinidad,BO,82.4,broken clouds,-14.8333,-64.9,Hotel Piesta
370,Martapura,ID,77.0,few clouds,-3.4167,114.85,Montana Hotel Syariah
371,Karachi,PK,78.8,clear sky,24.9056,67.0822,Sadaat
375,Mocajuba,BR,85.19,overcast clouds,-2.5842,-49.5072,Hotel Saylon
376,Kavieng,PG,79.36,light rain,-2.5744,150.7967,Nusa Island Retreat
380,Veraval,IN,78.6,clear sky,20.9,70.3667,Lords Inn Somnath
382,Tautira,PF,80.6,scattered clouds,-17.7333,-149.15,Pension Oaoa
384,Neuquen,AR,86.0,clear sky,-38.9516,-68.0591,Hotel del Comahue
385,Escondido,US,77.0,clear sky,33.1192,-117.0864,Holiday Inn Express & Suites San Diego-Escondido
388,Quelimane,MZ,80.6,few clouds,-17.8786,36.8883,Hotel Flamingo
394,Acapulco,MX,86.0,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
395,Mersing,MY,78.71,few clouds,2.4312,103.8405,Timotel Hotel
396,Buala,SB,79.65,light rain,-8.145,159.5921,Maringe Lagoon Lodge
398,Maceio,BR,82.4,broken clouds,-9.6658,-35.7353,Poutur Pousada
402,Tual,ID,83.66,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
411,Demak,ID,75.6,overcast clouds,-6.8909,110.6396,Inayah Kost
413,Sechura,PE,82.27,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
415,Takoradi,GH,81.09,clear sky,4.8845,-1.7554,Raybow International Hotel
422,Caravelas,BR,80.8,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
424,San Luis,AR,80.06,overcast clouds,-33.295,-66.3356,Huarpes Hotel
426,Akyab,MM,77.63,clear sky,20.15,92.9,Hotel Memory
429,Saint Anthony,US,78.8,clear sky,45.0205,-93.21799999999999,Holiday Inn Express Roseville-St. Paul
433,Ixtapa,MX,78.8,clear sky,20.7,-105.2,Hotel Plaza Providencia
438,Palmas Bellas,PA,86.0,overcast clouds,9.2319,-80.0867,Estación de Chagres
448,Coahuayana,MX,84.2,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
450,Sabang,ID,82.45,overcast clouds,5.8933,95.3214,Hotel Citra
451,Domoni,KM,80.53,light rain,-12.2569,44.5319,Al Djadid
452,Mayumba,GA,79.86,overcast clouds,-3.432,10.6554,LIKWALE LODGE
454,Wajir,KE,87.69,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
456,Parana,AR,87.01,overcast clouds,-31.732,-60.5238,Howard Johnson Plaza Hotel Mayorazgo
457,Harper,LR,80.47,broken clouds,4.375,-7.7169,Screensaver
459,Sao Filipe,CV,75.33,scattered clouds,14.8961,-24.4956,Tortuga B&B
464,Fare,PF,81.21,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
465,Farafangana,MG,76.24,moderate rain,-22.8167,47.8333,Miarina
468,Griffith,US,75.0,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
470,Betare Oya,CM,83.75,overcast clouds,5.6,14.0833,Auberge Tembina Betaré Oya
472,Sumbe,AO,79.02,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
473,Canatlan,MX,78.01,clear sky,24.5167,-104.7833,Mama Chuya
483,Shirwal,IN,75.78,few clouds,18.1333,73.9833,HOTEL PRIYANKA BAR AND LODGING
484,Aquiraz,BR,87.8,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
492,Turan,VN,77.0,few clouds,16.0678,108.2208,Sun River Hotel
493,Comodoro Rivadavia,AR,82.4,clear sky,-45.8667,-67.5,Austral Hotel
495,Bo Phloi,TH,82.0,overcast clouds,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
496,Salalah,OM,80.6,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
497,Alyangula,AU,78.4,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
498,Srandakan,ID,75.97,overcast clouds,-7.9386,110.2506,Puri Brata
499,Port Moresby,PG,77.0,broken clouds,-9.4431,147.1797,Lamana Hotel
505,Waingapu,ID,78.42,moderate rain,-9.6567,120.2641,Pondok Wisata Elim
508,Suluq,LY,77.2,overcast clouds,31.6682,20.2521,منزل عبدالواحد خليفة الفاخري
509,Deming,US,75.2,clear sky,32.2687,-107.7586,Best Western Deming Southwest Inn
510,Inhambane,MZ,75.0,clear sky,-23.865,35.3833,Oceano
511,Tabou,CI,80.6,broken clouds,4.423,-7.3528,hotêl doufoulougou
512,Natal,BR,86.0,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
521,Marshalltown,US,77.0,clear sky,42.0494,-92.90799999999999,Best Western Regency Inn
523,Vila Velha,BR,82.4,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
526,Vanimo,PG,78.28,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
527,Cidreira,BR,75.0,clear sky,-30.1811,-50.2056,Hotel Castelo
528,Qeshm,IR,78.8,haze,26.9581,56.2719,Qeshm Kavan Hotel
533,Kulhudhuffushi,MV,83.95,broken clouds,6.6221,73.07,Haajy Guest House 1
534,Puerto Narino,CO,87.8,scattered clouds,-3.7703,-70.3831,Eware Refugio Amazonico
537,Lakatoro,VU,79.5,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
538,Aden,YE,81.39,scattered clouds,12.7794,45.0367,Sama Emirate Hotel
541,San Blas,MX,86.0,clear sky,21.5167,-105.2667,Hotel Posada del Rey
545,Puerto Escondido,MX,86.0,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
546,Puerto Colombia,CO,86.0,few clouds,10.9878,-74.9547,Hotel El Emigrante
547,Paracuru,BR,84.0,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
549,Mecca,SA,78.91,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
550,Soconusco,MX,78.8,scattered clouds,17.9667,-94.8667,Soconusco
551,Mana,GF,81.55,broken clouds,5.6592,-53.7767,LE SAMANA
555,Mattoon,US,75.99,clear sky,39.4831,-88.3728,Holiday Inn Express & Suites Mattoon
562,Dwarka,IN,80.1,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
563,Musafirkhana,IN,79.16,clear sky,26.3667,81.8,Hari om rasoi
565,The Valley,AI,84.2,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
575,Petatlan,MX,86.0,clear sky,17.5167,-101.2667,Hotel California Petatlán
578,Francisco Morato,BR,78.01,few clouds,-23.2817,-46.7453,W&L
582,Cockburn Town,TC,77.0,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
585,Iralaya,HN,77.0,overcast clouds,15.0,-83.2333,Iglesia morava renovada
587,Arlit,NE,82.62,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
588,Bacungan,PH,78.8,few clouds,9.9106,118.7022,Sumayang Property
589,Presidente Medici,BR,77.47,overcast clouds,-11.1753,-61.9014,Oliveira Palace Hotel
592,Porto Novo,BJ,86.0,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
594,Olinda,BR,82.4,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
597,Sinnamary,GF,79.32,heavy intensity rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
598,Asyut,EG,77.0,clear sky,27.180999999999997,31.1837,Florence Hotel Assiut
602,Ugoofaaru,MV,84.52,overcast clouds,5.6667,73.0,Ungoofaaru Inn
603,Rapar,IN,82.26,clear sky,23.5667,70.6333,Dharamshi Bapa’s Home
607,Aneho,TG,84.2,few clouds,6.2333,1.6,Hotel La Linette
610,Kieta,PG,78.62,light rain,-6.2167,155.6333,Uruna Bay Retreat
611,Jodhpur,IN,85.44,clear sky,26.2867,73.03,"Umaid Bhawan Palace, Jodhpur"
613,Ndjole,GA,79.16,overcast clouds,-0.1783,10.7649,Hotel Kevazingo
621,Oriximina,BR,88.43,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
636,Meulaboh,ID,76.66,overcast clouds,4.1363,96.1285,Kost Pria
638,Alappuzha,IN,81.46,broken clouds,9.49,76.3264,Panoramic Sea Resort
642,Prabumulih,ID,75.4,overcast clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
643,Sabha,LY,77.88,few clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
646,Manjeshwar,IN,82.4,scattered clouds,12.7194,74.8861,Baithul Hidaya
647,Key West,US,77.0,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
650,Renigunta,IN,80.94,broken clouds,13.65,79.5167,Appanna Rest House
651,Englewood,US,77.0,broken clouds,39.6478,-104.9878,Holiday Motel
652,Pasni,PK,79.41,clear sky,25.2631,63.471000000000004,Kashmiri Hotal
654,Kottagudem,IN,82.99,clear sky,17.55,80.6333,Hotel Surya Palace
657,Robstown,US,80.6,broken clouds,27.7903,-97.6689,Days Inn by Wyndham Robstown
660,Saposoa,PE,75.2,moderate rain,-6.934,-76.7716,Hostal Primavera
662,Arecibo,PR,82.4,scattered clouds,18.4724,-66.7157,Atlantic Sand Oasis
663,Allahganj,IN,80.6,overcast clouds,27.55,79.6833,Rajesh TVS Motors
669,Sao Joao Da Barra,BR,82.4,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
671,Hobyo,SO,82.99,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
674,Huarmey,PE,76.53,scattered clouds,-10.0681,-78.1522,Hotel Miramar
676,Manaus,BR,89.6,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
678,Conde,BR,80.6,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
679,Celestun,MX,78.39,scattered clouds,20.8667,-90.4,Posada Lilia
680,Manado,ID,77.5,overcast clouds,1.4869999999999999,124.8455,Aryaduta Hotel
685,San Lorenzo,PY,89.6,clear sky,-25.3333,-57.5333,Hotel del Sur
689,Kudahuvadhoo,MV,83.55,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
693,Sambava,MG,79.14,overcast clouds,-14.2667,50.1667,Melrose
695,Miri,MY,77.0,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
696,Praya,CV,87.8,clear sky,14.9215,-23.5087,LT Aparthotel
701,Laguna De Perlas,NI,86.0,scattered clouds,12.3429,-83.6712,Hotel Best View
704,Pyapon,MM,77.86,moderate rain,16.2833,95.6833,Aung Naing Thu Motel
