,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
470,Betare Oya,CM,5.6,14.0833,83.75,28,100,3.49,overcast clouds
471,Portland,US,45.5234,-122.6762,57.0,58,75,10.36,broken clouds
472,Sumbe,AO,-11.2061,13.8437,79.02,83,100,5.61,overcast clouds
473,Canatlan,MX,24.5167,-104.7833,78.01,10,1,2.3,clear sky
474,Guerrero Negro,MX,27.9769,-114.0611,70.09,56,0,14.34,clear sky
475,Flin Flon,CA,54.7682,-101.865,42.8,33,90,12.66,overcast clouds
476,Wylie,US,33.0151,-96.5389,69.01,63,90,9.22,overcast clouds
477,Lokoja,NG,7.8024,6.743,92.25,27,40,1.34,scattered clouds
478,Port Lincoln,AU,-34.7333,135.8667,62.11,83,0,12.95,clear sky
479,Bilibino,RU,68.0546,166.4372,-21.12,98,47,3.22,scattered clouds
480,Kawalu,ID,-7.3817,108.2082,72.95,97,100,2.24,overcast clouds
481,Mehamn,NO,71.0357,27.8492,33.8,93,75,5.75,broken clouds
482,Gamba,GA,-2.65,10.0,78.75,90,100,6.71,moderate rain
483,Shirwal,IN,18.1333,73.9833,75.78,58,11,6.2,few clouds
484,Aquiraz,BR,-3.9014,-38.3911,87.8,62,20,16.11,few clouds
485,Purpe,RU,64.4803,76.6897,32.31,94,100,14.05,overcast clouds
486,Kifri,IQ,34.6959,44.9661,62.37,38,0,8.68,clear sky
487,Sokolovo,RU,52.5318,84.7896,29.08,98,89,4.88,overcast clouds
488,Djambala,CG,-2.5447,14.7533,74.08,77,100,3.42,overcast clouds
489,Port Macquarie,AU,-31.4333,152.9167,66.2,94,100,5.75,light rain
490,Taltal,CL,-25.4,-70.4833,70.29,66,12,6.71,few clouds
491,Baijiantan,CN,45.6333,85.1833,50.07,27,0,2.86,clear sky
492,Turan,VN,16.0678,108.2208,77.0,88,20,3.74,few clouds
493,Comodoro Rivadavia,AR,-45.8667,-67.5,82.4,24,0,14.97,clear sky
494,Ketchikan,US,55.3422,-131.6461,41.2,72,99,2.93,overcast clouds
495,Bo Phloi,TH,14.3236,99.5161,82.0,79,97,5.93,overcast clouds
496,Salalah,OM,17.0151,54.0924,80.6,83,0,3.44,clear sky
497,Alyangula,AU,-13.8483,136.4192,78.4,63,18,3.0,few clouds
498,Srandakan,ID,-7.9386,110.2506,75.97,91,100,3.58,overcast clouds
499,Port Moresby,PG,-9.4431,147.1797,77.0,94,75,3.44,broken clouds
500,Margate,GB,51.3813,1.3862,52.0,65,19,3.0,few clouds
501,Ushtobe,KZ,45.2514,77.9838,48.76,56,100,8.5,overcast clouds
502,Guiyang,CN,26.5833,106.7167,46.4,100,90,8.95,mist
503,Karbinci,MK,41.8167,22.2375,39.2,93,90,3.44,overcast clouds
504,Smithers,CA,54.7804,-127.1743,33.8,69,20,3.44,few clouds
505,Waingapu,ID,-9.6567,120.2641,78.42,79,100,15.43,moderate rain
506,Sembabule,UG,-0.0772,31.4567,65.77,93,100,2.91,moderate rain
507,Gardiner,US,44.2301,-69.7753,54.0,24,1,24.16,clear sky
508,Suluq,LY,31.6682,20.2521,77.2,14,100,12.57,overcast clouds
509,Deming,US,32.2687,-107.7586,75.2,29,1,3.44,clear sky
510,Inhambane,MZ,-23.865,35.3833,75.0,68,0,6.91,clear sky
511,Tabou,CI,4.423,-7.3528,80.6,81,59,6.31,broken clouds
512,Natal,BR,-5.795,-35.2094,86.0,70,40,14.97,scattered clouds
513,Komatipoort,ZA,-25.4332,31.9548,70.0,89,0,3.18,clear sky
514,Rocha,UY,-34.4833,-54.3333,74.01,70,72,10.83,broken clouds
515,Camacha,PT,33.0833,-16.3333,64.4,63,20,4.61,few clouds
516,Turayf,SA,31.6725,38.6637,62.6,31,0,5.75,clear sky
517,Scarborough,GB,54.2797,-0.4044,48.0,69,100,3.0,overcast clouds
518,Whitehorse,CA,60.7161,-135.0538,27.0,63,75,13.8,broken clouds
519,Togitsu,JP,32.8333,129.85,57.0,76,59,20.0,broken clouds
520,Yulara,AU,-25.2406,130.9889,64.4,45,0,5.75,clear sky
521,Marshalltown,US,42.0494,-92.908,77.0,31,1,21.85,clear sky
522,Tiksi,RU,71.6872,128.8694,-19.82,100,100,4.81,overcast clouds
523,Vila Velha,BR,-20.3297,-40.2925,82.4,61,20,17.27,few clouds
524,Lavrentiya,RU,65.5833,-171.0,-6.66,81,68,8.72,broken clouds
525,Antipino,RU,57.1068,65.7576,37.4,81,75,6.71,broken clouds
526,Vanimo,PG,-2.6741,141.3028,78.28,88,97,5.01,overcast clouds
527,Cidreira,BR,-30.1811,-50.2056,75.0,72,9,15.84,clear sky
528,Qeshm,IR,26.9581,56.2719,78.8,69,39,6.91,haze
529,Sioux Lookout,CA,50.1001,-91.917,55.4,33,75,8.05,broken clouds
530,Vernon,CA,50.2581,-119.2691,50.0,42,48,5.75,scattered clouds
531,Kaeo,NZ,-35.1,173.7833,48.99,95,100,3.04,overcast clouds
532,Virginia Beach,US,36.8529,-75.978,73.4,23,20,11.5,few clouds
533,Kulhudhuffushi,MV,6.6221,73.07,83.95,66,51,12.64,broken clouds
534,Puerto Narino,CO,-3.7703,-70.3831,87.8,62,40,5.75,scattered clouds
535,Khorinsk,RU,52.1657,109.7726,26.96,86,28,6.35,scattered clouds
536,Thunder Bay,CA,48.4001,-89.3168,50.0,43,75,17.27,broken clouds
537,Lakatoro,VU,-16.0999,167.4164,79.5,86,98,10.25,overcast clouds
538,Aden,YE,12.7794,45.0367,81.39,58,31,5.97,scattered clouds
539,Alofi,NU,-19.0595,-169.9187,73.4,100,98,3.44,overcast clouds
540,Okhotsk,RU,59.3833,143.3,18.66,96,100,0.69,light snow
541,San Blas,MX,21.5167,-105.2667,86.0,32,1,8.21,clear sky
542,Karibib,NA,-21.9333,15.8333,80.04,31,6,5.37,clear sky
543,Manga,BF,11.6636,-1.0731,91.98,9,5,5.55,clear sky
544,La Roda,ES,39.2167,-2.15,59.0,63,40,8.05,scattered clouds
545,Puerto Escondido,MX,15.85,-97.0667,86.0,74,1,11.5,clear sky
546,Puerto Colombia,CO,10.9878,-74.9547,86.0,62,20,17.27,few clouds
547,Paracuru,BR,-3.41,-39.0306,84.0,71,72,18.99,broken clouds
548,Peniche,PT,39.3558,-9.3811,66.0,79,0,7.0,clear sky
549,Mecca,SA,21.4267,39.8261,78.91,32,100,7.14,overcast clouds
550,Soconusco,MX,17.9667,-94.8667,78.8,53,40,11.5,scattered clouds
551,Mana,GF,5.6592,-53.7767,81.55,78,80,10.58,broken clouds
552,Asau,RO,46.4333,26.4,37.0,55,35,3.58,scattered clouds
553,Ati,TD,13.2154,18.3353,88.7,12,97,9.8,overcast clouds
554,Teguise,ES,29.0605,-13.564,69.8,52,20,13.8,few clouds
555,Mattoon,US,39.4831,-88.3728,75.99,40,1,6.91,clear sky
556,Odda,NO,60.0691,6.5457,36.0,88,100,11.99,snow
557,Eureka,US,40.8021,-124.1637,53.01,73,100,4.0,overcast clouds
558,Demba,CD,-5.51,22.2667,68.67,98,86,3.24,overcast clouds
559,Vargashi,RU,55.3556,65.8467,32.47,98,100,8.34,overcast clouds
560,Hirtshals,DK,57.5881,9.9592,44.01,87,90,29.93,overcast clouds
561,Moose Factory,CA,51.2585,-80.6094,37.4,75,1,11.5,clear sky
562,Dwarka,IN,22.2394,68.9678,80.1,75,0,12.71,clear sky
563,Musafirkhana,IN,26.3667,81.8,79.16,7,3,6.96,clear sky
564,Sheltozero,RU,61.3667,35.3667,34.38,96,100,14.16,light snow
565,The Valley,AI,18.217,-63.0578,84.2,65,40,12.66,scattered clouds
566,Provideniya,RU,64.3833,-173.3,-1.62,84,15,6.2,few clouds
567,Praia Da Vitoria,PT,38.7333,-27.0667,61.0,88,75,11.23,broken clouds
568,Gravdal,NO,68.1214,13.5031,28.4,93,40,4.61,light snow
569,Ginda,IN,30.6945,78.4932,56.46,27,99,6.76,overcast clouds
570,Opuwo,NA,-18.0607,13.84,75.79,42,4,5.5,clear sky
571,Tromso,NO,69.6496,18.957,30.2,80,75,3.44,broken clouds
572,Jumla,NP,29.2747,82.1838,44.6,23,100,3.74,overcast clouds
573,Beyneu,KZ,45.3167,55.2,49.98,68,11,9.84,few clouds
574,Uvalde,US,29.3669,-99.767,68.0,72,90,11.5,overcast clouds
575,Petatlan,MX,17.5167,-101.2667,86.0,66,1,6.91,clear sky
576,Castelldefels,ES,41.2779,1.9703,60.01,67,0,4.61,clear sky
577,Muros,ES,42.7762,-9.0603,64.4,52,0,11.5,clear sky
578,Francisco Morato,BR,-23.2817,-46.7453,78.01,57,20,11.5,few clouds
579,Vicuna,CL,-30.0319,-70.7081,64.4,68,90,8.05,overcast clouds
580,Herat,AF,34.5,62.0,53.6,37,0,5.75,clear sky
581,Simao,CN,22.7886,100.9748,58.15,93,100,1.32,light rain
582,Cockburn Town,TC,21.4612,-71.1419,77.0,61,75,17.27,broken clouds
583,La Ronge,CA,55.1001,-105.2842,35.6,80,100,11.5,overcast clouds
584,Khani,GE,41.9563,42.9566,51.8,71,0,6.91,clear sky
585,Iralaya,HN,15.0,-83.2333,77.0,88,90,16.11,overcast clouds
586,Amos,CA,48.5669,-78.1162,50.0,61,40,8.05,scattered clouds
587,Arlit,NE,18.7369,7.3853,82.62,6,2,7.4,clear sky
588,Bacungan,PH,9.9106,118.7022,78.8,89,20,6.91,few clouds
589,Presidente Medici,BR,-11.1753,-61.9014,77.47,94,100,3.69,overcast clouds
590,Atherton,GB,53.5237,-2.4935,48.99,74,100,8.01,overcast clouds
591,Wapakoneta,US,40.5678,-84.1936,69.01,34,1,1.79,clear sky
592,Porto Novo,BJ,6.4965,2.6036,86.0,79,40,13.8,scattered clouds
593,Bhadravati,IN,13.8667,75.7167,71.74,86,6,7.07,clear sky
594,Olinda,BR,-8.0089,-34.8553,82.4,69,75,8.05,broken clouds
595,Ola,RU,59.5833,151.2833,13.03,71,100,7.49,overcast clouds
596,Novi Sanzhary,UA,49.3439,34.3108,43.18,65,72,3.13,broken clouds
597,Sinnamary,GF,5.3833,-52.95,79.32,85,99,9.82,heavy intensity rain
598,Asyut,EG,27.181,31.1837,77.0,18,0,14.97,clear sky
599,Sergeyevka,KZ,53.88,67.4158,29.95,93,100,5.46,overcast clouds
600,Lichinga,MZ,-13.3128,35.2406,64.4,94,75,11.5,broken clouds
601,Hervey Bay,AU,-25.2986,152.8535,73.0,97,100,5.01,overcast clouds
602,Ugoofaaru,MV,5.6667,73.0,84.52,66,100,11.68,overcast clouds
603,Rapar,IN,23.5667,70.6333,82.26,47,0,13.65,clear sky
604,Hovd,MN,48.0056,91.6419,31.57,23,14,0.87,few clouds
605,Sahuaripa,MX,29.05,-109.2333,94.6,6,0,5.7,clear sky
606,Nioro,GM,13.35,-15.75,99.14,12,100,5.46,overcast clouds
607,Aneho,TG,6.2333,1.6,84.2,84,20,13.8,few clouds
608,Agadez,NE,19.75,10.25,78.58,8,99,7.52,overcast clouds
609,Henties Bay,NA,-22.116,14.2845,68.72,70,5,8.1,clear sky
610,Kieta,PG,-6.2167,155.6333,78.62,82,99,4.47,light rain
611,Jodhpur,IN,26.2867,73.03,85.44,17,0,11.7,clear sky
612,Vyazemskiy,RU,47.5378,134.7525,33.33,49,26,7.43,scattered clouds
613,Ndjole,GA,-0.1783,10.7649,79.16,87,100,1.3,overcast clouds
614,Annonay,FR,45.2397,4.6708,55.4,41,0,12.66,clear sky
615,Marzuq,YE,14.4,46.4667,72.27,30,6,5.7,clear sky
616,Vestmannaeyjar,IS,63.4427,-20.2734,21.78,50,31,29.26,scattered clouds
617,Homer,US,59.6425,-151.5483,37.4,93,90,8.05,light rain
618,Svetlaya,RU,46.5389,138.3297,31.78,61,0,6.08,clear sky
619,Oros,BR,-6.2444,-38.9136,90.39,44,99,8.48,overcast clouds
620,Wrzesnia,PL,52.3251,17.5652,43.0,54,32,5.01,scattered clouds
621,Oriximina,BR,-1.7656,-55.8661,88.43,59,100,5.23,overcast clouds
622,Devils Lake,US,48.1128,-98.8651,60.8,21,1,14.97,clear sky
623,Lixourion,GR,38.2019,20.4314,62.6,88,40,3.44,scattered clouds
624,Lusambo,CD,-4.9667,23.45,70.88,97,26,3.0,scattered clouds
625,Tokur,RU,53.1333,132.9,12.94,97,100,2.46,overcast clouds
626,Bend,US,44.0582,-121.3153,55.99,35,1,3.44,clear sky
627,Baker City,US,44.7749,-117.8344,57.99,33,1,4.61,clear sky
628,Katangli,RU,51.7102,143.2326,13.23,83,4,9.28,clear sky
629,Gebre Guracha,ET,9.8,38.4,61.36,42,7,7.2,clear sky
630,Ilinskiy,RU,55.619,38.1182,39.2,56,0,2.24,light rain
631,Balclutha,NZ,-46.2339,169.75,61.0,52,42,10.0,scattered clouds
632,Thohoyandou,ZA,-22.9456,30.485,64.54,81,0,4.88,clear sky
633,Shihezi,CN,44.3,86.0333,46.2,46,0,2.46,clear sky
634,Shache,CN,38.4167,77.2406,47.91,46,94,2.73,overcast clouds
635,Oyama,JP,36.3,139.8,64.0,94,90,4.61,light intensity drizzle
636,Meulaboh,ID,4.1363,96.1285,76.66,89,100,2.42,overcast clouds
637,Lieksa,FI,63.3167,30.0167,36.07,85,69,13.31,broken clouds
638,Alappuzha,IN,9.49,76.3264,81.46,75,63,11.21,broken clouds
639,Neiafu,TO,-18.65,-173.9833,71.6,94,40,6.35,light rain
640,Lindon,US,40.3433,-111.7208,73.4,18,40,3.44,scattered clouds
641,Iwanai,JP,42.9744,140.5089,34.54,70,100,4.54,overcast clouds
642,Prabumulih,ID,-3.45,104.25,75.4,95,100,1.72,overcast clouds
643,Sabha,LY,27.0377,14.4283,77.88,9,17,10.67,few clouds
644,Deer Lake,CA,49.1667,-57.4316,42.8,81,90,17.27,light intensity drizzle
645,Leonidovo,RU,49.2833,142.8667,20.89,89,51,4.09,broken clouds
646,Manjeshwar,IN,12.7194,74.8861,82.4,69,40,3.44,scattered clouds
647,Key West,US,24.5557,-81.7826,77.0,44,1,13.8,clear sky
648,Arcachon,FR,44.5875,-1.0519,62.6,62,0,8.05,clear sky
649,Coffs Harbour,AU,-30.3,153.1333,66.2,94,100,4.61,overcast clouds
650,Renigunta,IN,13.65,79.5167,80.94,81,67,3.6,broken clouds
651,Englewood,US,39.6478,-104.9878,77.0,11,75,9.22,broken clouds
652,Pasni,PK,25.2631,63.471,79.41,83,5,5.37,clear sky
653,Semirom,IR,31.4167,51.5667,43.18,36,0,4.79,clear sky
654,Kottagudem,IN,17.55,80.6333,82.99,66,5,7.92,clear sky
655,Bondo,CD,3.8146,23.6866,81.07,51,83,2.62,broken clouds
656,Arauca,CO,7.0847,-70.7591,95.74,33,100,4.65,overcast clouds
657,Robstown,US,27.7903,-97.6689,80.6,44,75,12.66,broken clouds
658,Svetlogorsk,BY,52.6333,29.7333,35.04,73,23,5.1,few clouds
659,Abashiri,JP,44.0213,144.2697,36.0,72,100,5.99,overcast clouds
660,Saposoa,PE,-6.934,-76.7716,75.2,94,90,2.3,moderate rain
661,Bogorodskoye,RU,56.55,37.8833,28.31,92,56,4.76,broken clouds
662,Arecibo,PR,18.4724,-66.7157,82.4,69,40,9.22,scattered clouds
663,Allahganj,IN,27.55,79.6833,80.6,7,98,6.42,overcast clouds
664,Ampanihy,MG,-24.7,44.75,68.7,85,5,7.2,clear sky
665,Tall Kayf,TR,37.0833,41.0667,53.91,58,26,4.09,scattered clouds
666,Yerbogachen,RU,61.2767,108.0108,-16.06,99,91,3.85,overcast clouds
667,Grimstad,NO,58.3405,8.5934,43.0,87,75,19.57,broken clouds
668,Jishou,CN,28.3167,109.7167,49.66,89,100,2.98,overcast clouds
669,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.4,61,40,13.8,scattered clouds
670,Pangody,RU,65.85,74.4859,32.36,93,100,12.64,overcast clouds
671,Hobyo,SO,5.3505,48.5268,82.99,67,87,13.62,overcast clouds
672,San Quintin,MX,30.4833,-115.95,67.84,60,5,16.37,clear sky
673,Valparaiso,CL,-33.0393,-71.6273,59.0,100,90,9.22,mist
674,Huarmey,PE,-10.0681,-78.1522,76.53,71,42,11.01,scattered clouds
675,Jiangkou,CN,25.4872,119.1986,60.8,72,90,8.95,overcast clouds
676,Manaus,BR,-3.1019,-60.025,89.6,62,40,5.75,scattered clouds
677,Mangan,IN,27.5167,88.5333,61.36,32,0,8.23,clear sky
678,Conde,BR,-7.2597,-34.9075,80.6,83,75,13.8,broken clouds
679,Celestun,MX,20.8667,-90.4,78.39,60,42,19.26,scattered clouds
680,Manado,ID,1.487,124.8455,77.5,88,100,2.53,overcast clouds
681,Ocher,RU,57.8904,54.7202,28.6,96,100,6.51,light snow
682,Gavle,SE,60.6745,17.1417,48.99,47,100,7.0,overcast clouds
683,Myitkyina,MM,25.3833,97.4,72.82,30,88,2.26,overcast clouds
684,Syasstroy,RU,60.1367,32.5691,36.01,87,100,14.41,light rain
685,San Lorenzo,PY,-25.3333,-57.5333,89.6,45,0,8.05,clear sky
686,Broken Hill,AU,-31.95,141.4333,62.6,48,0,8.05,clear sky
687,Khandbari,NP,27.3747,87.2039,62.47,17,0,5.35,clear sky
688,Bara,NG,10.3744,10.7288,87.21,13,5,6.98,clear sky
689,Kudahuvadhoo,MV,2.6708,72.8944,83.55,75,8,14.81,clear sky
690,Mnogovershinnyy,RU,53.9353,139.9242,3.33,83,17,4.07,few clouds
691,Nurota,UZ,40.5614,65.6886,48.2,71,96,9.22,overcast clouds
692,Costa Rica,BR,-23.4167,-54.65,83.53,49,100,6.89,overcast clouds
693,Sambava,MG,-14.2667,50.1667,79.14,83,96,6.33,overcast clouds
694,Shingu,JP,33.7333,135.9833,60.73,94,100,5.17,overcast clouds
695,Miri,MY,4.4148,114.0089,77.0,94,40,4.92,scattered clouds
696,Praya,CV,14.9215,-23.5087,87.8,27,0,18.41,clear sky
697,Fort Saint James,CA,54.4333,-124.25,41.09,49,4,7.49,clear sky
698,Ust-Kuyga,RU,70.0167,135.6,-15.34,99,100,4.88,overcast clouds
699,Kailua,US,21.4022,-157.7394,71.6,88,90,12.66,light rain
700,Roma,US,43.2128,-75.4557,57.99,33,75,5.75,broken clouds
701,Laguna De Perlas,NI,12.3429,-83.6712,86.0,70,40,4.61,scattered clouds
702,Nerchinskiy Zavod,RU,51.3088,119.61,31.35,80,94,7.74,overcast clouds
703,Ishinomaki,JP,38.4167,141.3,48.11,94,100,11.79,overcast clouds
704,Pyapon,MM,16.2833,95.6833,77.86,72,100,6.49,moderate rain
705,Hegang,CN,47.4,130.3667,34.83,42,100,5.59,overcast clouds
706,Mende,FR,44.6667,3.5,34.29,72,0,5.1,clear sky
